Year,Citations,Name
2017,153,Yeo Chai Kiat
2018,145,Yeo Chai Kiat
2019,190,Yeo Chai Kiat
2020,203,Yeo Chai Kiat
2021,266,Yeo Chai Kiat
2022,288,Yeo Chai Kiat
2023,200,Yeo Chai Kiat
2002,18,Yu Han
2003,10,Yu Han
2004,19,Yu Han
2005,53,Yu Han
2006,95,Yu Han
2007,91,Yu Han
2008,113,Yu Han
2009,96,Yu Han
2010,98,Yu Han
2011,124,Yu Han
2012,129,Yu Han
2013,143,Yu Han
2014,148,Yu Han
2015,132,Yu Han
2016,149,Yu Han
2017,153,Yu Han
2018,145,Yu Han
2019,190,Yu Han
2020,203,Yu Han
2021,266,Yu Han
2022,288,Yu Han
2023,200,Yu Han
2002,18,Zhang Hanwang
2003,10,Zhang Hanwang
2004,19,Zhang Hanwang
2005,53,Zhang Hanwang
2006,95,Zhang Hanwang
2007,91,Zhang Hanwang
2008,113,Zhang Hanwang
2009,96,Zhang Hanwang
2010,98,Zhang Hanwang
2011,124,Zhang Hanwang
2012,129,Zhang Hanwang
2013,143,Zhang Hanwang
2014,148,Zhang Hanwang
2015,132,Zhang Hanwang
2016,149,Zhang Hanwang
2017,153,Zhang Hanwang
2018,145,Zhang Hanwang
2019,190,Zhang Hanwang
2020,203,Zhang Hanwang
2021,266,Zhang Hanwang
2022,288,Zhang Hanwang
2023,200,Zhang Hanwang
2002,18,Zhang Jie
2003,10,Zhang Jie
2004,19,Zhang Jie
2005,53,Zhang Jie
2006,95,Zhang Jie
2007,91,Zhang Jie
2008,113,Zhang Jie
2009,96,Zhang Jie
2010,98,Zhang Jie
2011,124,Zhang Jie
2012,129,Zhang Jie
2013,143,Zhang Jie
2014,148,Zhang Jie
2015,132,Zhang Jie
2016,149,Zhang Jie
2017,153,Zhang Jie
2018,145,Zhang Jie
2019,190,Zhang Jie
2020,203,Zhang Jie
2021,266,Zhang Jie
2022,288,Zhang Jie
2023,200,Zhang Jie
2002,18,Zhang Tianwei
2003,10,Zhang Tianwei
2004,19,Zhang Tianwei
2005,53,Zhang Tianwei
2006,95,Zhang Tianwei
2007,91,Zhang Tianwei
2008,113,Zhang Tianwei
2009,96,Zhang Tianwei
2010,98,Zhang Tianwei
2011,124,Zhang Tianwei
2012,129,Zhang Tianwei
2013,143,Zhang Tianwei
2014,148,Zhang Tianwei
2015,132,Zhang Tianwei
2016,149,Zhang Tianwei
2017,153,Zhang Tianwei
2018,145,Zhang Tianwei
2019,190,Zhang Tianwei
2020,203,Zhang Tianwei
2021,266,Zhang Tianwei
2022,288,Zhang Tianwei
2023,200,Zhang Tianwei
2002,18,Zhao Jun
2003,10,Zhao Jun
2004,19,Zhao Jun
2005,53,Zhao Jun
2006,95,Zhao Jun
2007,91,Zhao Jun
2008,113,Zhao Jun
2009,96,Zhao Jun
2010,98,Zhao Jun
2011,124,Zhao Jun
2012,129,Zhao Jun
2013,143,Zhao Jun
2014,148,Zhao Jun
2015,132,Zhao Jun
2016,149,Zhao Jun
2017,153,Zhao Jun
2018,145,Zhao Jun
2019,190,Zhao Jun
2020,203,Zhao Jun
2021,266,Zhao Jun
2022,288,Zhao Jun
2023,200,Zhao Jun
2002,18,Zheng Jianmin
2003,10,Zheng Jianmin
2004,19,Zheng Jianmin
2005,53,Zheng Jianmin
2006,95,Zheng Jianmin
2007,91,Zheng Jianmin
2008,113,Zheng Jianmin
2009,96,Zheng Jianmin
2010,98,Zheng Jianmin
2011,124,Zheng Jianmin
2012,129,Zheng Jianmin
2013,143,Zheng Jianmin
2014,148,Zheng Jianmin
2015,132,Zheng Jianmin
2016,149,Zheng Jianmin
2017,153,Zheng Jianmin
2018,145,Zheng Jianmin
2019,190,Zheng Jianmin
2020,203,Zheng Jianmin
2021,266,Zheng Jianmin
2022,288,Zheng Jianmin
2023,200,Zheng Jianmin
2002,18,Zinovi Rabinovich
2003,10,Zinovi Rabinovich
2004,19,Zinovi Rabinovich
2005,53,Zinovi Rabinovich
2006,95,Zinovi Rabinovich
2007,91,Zinovi Rabinovich
2008,113,Zinovi Rabinovich
2009,96,Zinovi Rabinovich
2010,98,Zinovi Rabinovich
2011,124,Zinovi Rabinovich
2012,129,Zinovi Rabinovich
2013,143,Zinovi Rabinovich
2014,148,Zinovi Rabinovich
2015,132,Zinovi Rabinovich
2016,149,Zinovi Rabinovich
2017,153,Zinovi Rabinovich
2018,145,Zinovi Rabinovich
2019,190,Zinovi Rabinovich
2020,203,Zinovi Rabinovich
2021,266,Zinovi Rabinovich
2022,288,Zinovi Rabinovich
2023,200,Zinovi Rabinovich
